ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60624,24,06/07/2020,06/13/2020,13,871,36,2408.9,289,3457,799,9560.8,0.0,0.3,0,24,0.0,66.4,36158,60624-24,POINT (-87.722735 41.879417)
60624,25,06/14/2020,06/20/2020,22,893,61,2469.7,278,3735,769,10329.7,0.1,0.2,3,27,8.3,74.7,36158,60624-25,POINT (-87.722735 41.879417)
60666,13,03/22/2020,03/28/2020,,,,,0,0,0,0,,,0,0,0.0,0.0,0,60666-13,POINT (-87.896371 41.979511)
60652,11,03/08/2020,03/14/2020,,,,,5,5,11,11.4,,,0,0,0.0,0.0,43907,60652-11,POINT (-87.714238 41.745398)
60624,26,06/21/2020,06/27/2020,22,915,61,2530.6,274,4009,758,11087.4,0.1,0.2,1,28,2.8,77.4,36158,60624-26,POINT (-87.722735 41.879417)
60666,10,03/01/2020,03/07/2020,,,,,0,0,0,0,,,0,0,0.0,0.0,0,60666-10,POINT (-87.896371 41.979511)
60608,12,03/15/2020,03/21/2020,13,15,16,18.9,84,95,106,119.9,0.2,0.2,0,0,0.0,0.0,79205,60608-12,POINT (-87.670366 41.849879)
60614,12,03/15/2020,03/21/2020,24,38,34,53.3,120,153,168,214.6,0.2,0.2,1,1,1.4,1.4,71308,60614-12,POINT (-87.652064 41.922605)
60652,10,03/01/2020,03/07/2020,,,,,0,0,0,0,,,0,0,0.0,0.0,43907,60652-10,POINT (-87.714238 41.745398)
60640,10,03/01/2020,03/07/2020,,,,,4,4,6,5.7,,,0,0,0.0,0.0,69715,60640-10,POINT (-87.662232 41.971888)
60638,12,03/15/2020,03/21/2020,8,8,14,13.6,40,42,68,71.4,0.2,0.2,0,0,0.0,0.0,58797,60638-12,POINT (-87.771902 41.787032)
60661,26,06/21/2020,06/27/2020,7,53,70,534,90,680,907,6850.7,0.1,0.1,0,0,0.0,0.0,9926,60661-26,POINT (-87.644283 41.882786)
60661,27,06/28/2020,07/04/2020,5,58,50,584.3,146,826,1471,8321.6,0.0,0.1,0,0,0.0,0.0,9926,60661-27,POINT (-87.644283 41.882786)
60661,28,07/05/2020,07/11/2020,8,66,81,664.9,163,989,1642,9963.7,0.0,0.1,0,0,0.0,0.0,9926,60661-28,POINT (-87.644283 41.882786)
60605,10,03/01/2020,03/07/2020,,,,,0,0,0,0,,,0,0,0.0,0.0,27519,60605-10,POINT (-87.623449 41.867824)
60608,17,04/19/2020,04/25/2020,194,610,245,770.2,480,1609,606,2031.4,0.4,0.4,7,17,8.8,21.5,79205,60608-17,POINT (-87.670366 41.849879)
60666,20,05/10/2020,05/16/2020,,,,,0,1,0,0,,,0,0,0.0,0.0,0,60666-20,POINT (-87.896371 41.979511)
60602,13,03/22/2020,03/28/2020,,,,,3,6,241,482.3,,,0,0,0.0,0.0,1244,60602-13,POINT (-87.628309 41.883136)
60607,21,05/17/2020,05/23/2020,17,436,57,1473.4,193,1571,652,5309,0.1,0.3,0,4,0.0,13.5,29591,60607-21,POINT (-87.652727 41.876104)
60827,10,03/01/2020,03/07/2020,,,,,0,0,0,0,,,0,0,0.0,0.0,28577,60827-10,POINT (-87.633087 41.650765)
60625,12,03/15/2020,03/21/2020,25,26,32,32.8,84,97,106,122.4,0.3,0.3,1,1,1.3,1.3,79243,60625-12,POINT (-87.701816 41.971155)
60625,13,03/22/2020,03/28/2020,28,54,35,68.1,143,240,180,302.9,0.2,0.2,0,1,0.0,1.3,79243,60625-13,POINT (-87.701816 41.971155)
60607,10,03/01/2020,03/07/2020,,,,,0,0,0,0,,,0,0,0.0,0.0,29591,60607-10,POINT (-87.652727 41.876104)
60621,16,04/12/2020,04/18/2020,76,219,262,754.1,169,532,582,1831.8,0.4,0.4,3,9,10.3,31.0,29042,60621-16,POINT (-87.638812 41.776931)
60638,31,07/26/2020,08/01/2020,71,1395,121,2372.6,581,8053,988,13696.3,0.1,0.2,0,39,0.0,66.3,58797,60638-31,POINT (-87.771902 41.787032)
60638,32,08/02/2020,08/08/2020,100,1495,170,2542.6,706,8759,1201,14897,0.1,0.2,0,39,0.0,66.3,58797,60638-32,POINT (-87.771902 41.787032)
60638,33,08/09/2020,08/15/2020,66,1561,112,2654.9,562,9321,956,15852.8,0.1,0.2,1,40,1.7,68.0,58797,60638-33,POINT (-87.771902 41.787032)
